parameter,value,accuracy,precision,recall,f1,roc_auc,train_seconds
learning_rate,0.03,0.8520380006307159,0.5915915915915916,0.19712320200125077,0.29571254339056197,0.8242821653100583,2.026950199971907
learning_rate,0.06,0.8519394512771996,0.5881065304633345,0.2016260162601626,0.30029806259314457,0.8242837748417872,1.4547586000408046
learning_rate,0.1,0.8520774203721223,0.589155749636099,0.20250156347717324,0.3014055664153402,0.8242176669840516,0.8888909000088461
learning_rate,0.15,0.8521759697256386,0.5886778932282336,0.2055034396497811,0.3046541813461895,0.823961198345536,0.660887099977117
max_leaf_nodes,15.0,0.8515649637338379,0.5827980014275518,0.20425265791119449,0.3024914328054089,0.82435383044189,1.3365890000131913
max_leaf_nodes,31.0,0.8519394512771996,0.5881065304633345,0.2016260162601626,0.30029806259314457,0.8242837748417872,1.3748511000303552
max_leaf_nodes,45.0,0.8520577105014191,0.5916073435743724,0.19749843652282675,0.29613653413353336,0.8240492763113699,1.3264558999799192
max_leaf_nodes,63.0,0.8523730684326711,0.5951035781544256,0.19762351469668543,0.29671361502347415,0.8239982585451977,1.373256599996239
