setting,n_features,accuracy,precision,recall,f1,roc_auc,train_seconds,f1_delta_vs_all_features
all_features,21,0.8519394512771996,0.5881065304633345,0.2016260162601626,0.30029806259314457,0.8242837748417872,1.2487912000506185,0.0
without_health_condition,13,0.8453760643330179,0.5646551724137931,0.08192620387742339,0.14309120699071545,0.7783560283891546,1.052726400026586,-0.1572068556024291
without_lifestyle,15,0.8465980763166193,0.5588235294117647,0.1259537210756723,0.20557313463305094,0.8076102376694543,1.1503795000026003,-0.09472492796009363
without_healthcare_access,18,0.8512496058025859,0.5837696335078534,0.19524702939337085,0.29262348861186616,0.8229451653463897,1.1388302000123076,-0.00767457398127841
without_demographic,17,0.850382371491643,0.5900981266726137,0.16547842401500937,0.2584741623522516,0.812552869642167,1.0864786999882199,-0.04182390024089294
