model,accuracy,precision,recall,f1,roc_auc,inference_seconds
Random Forest,0.7414276014259039,0.9737937926822497,0.4962089062411588,0.6574207695335195,0.9493641603722138,0.7153828999726102
MLP,0.5981016239461325,0.882430792985552,0.2263622474961806,0.36029991218787294,0.8333979634727309,0.08003809995716438
Histogram Gradient Boosting,0.5948622192044362,0.8919803600654664,0.215866010298195,0.3476082004555809,0.8368912899427908,0.2157662999816239
Residual MLP,0.5924432750523397,0.8860011813349085,0.21218808351722968,0.3423797676382644,0.8321335955992293,0.1890265999827534
GA Optimized mlp,0.5909721043399536,0.8871763997591812,0.20845357324732644,0.33758676777164326,0.833898106862073,0.07492809998802841
Logistic Regression,0.5833050415888643,0.870797128825085,0.19563741300288576,0.3194954605308753,0.8243052672632717,0.022585200029425323
