model,accuracy,precision,recall,f1,roc_auc,train_seconds,inference_seconds
MLP,0.850618889940082,0.5700808625336927,0.21163227016885552,0.3086746328559701,0.8229810023019377,5.6405883000006725,0.04034739999769954
Histogram Gradient Boosting,0.8519394512771996,0.5881065304633345,0.2016260162601626,0.30029806259314457,0.8242837748417872,2.7065247999998974,0.14298699999926612
Residual MLP,0.8516240933459477,0.585187887632251,0.20062539086929332,0.29880774962742174,0.8232379040508093,19.17932700000165,0.16953640000065207
GA Optimized mlp,0.8499881740775781,0.569364161849711,0.19712320200125077,0.292855151909319,0.8192342187499063,13.52180330000192,0.09997509999811882
Random Forest,0.8510130873541469,0.5822021116138764,0.1931207004377736,0.2900347515732131,0.811621418998582,5.417095500000869,0.46238850000008824
Logistic Regression,0.8480960264900662,0.5520231213872833,0.19111944965603503,0.2839357056582737,0.817190252459295,0.14523019999978715,0.010476100000232691
